text,target
"Celebrating the summer solstice Be bright Find an HIV test NHTD ",positivo
"Just one week until National HIV Testing Day June 27 Plan ahead find where to get HIV testing NHTD ",positivo
"Implementing Pre-Exposure Prophylaxis (PrEP) in Los Angeles County ",positivo
"Have you seen our National HIV Testing Day (June 27) blog series yet Check back on Tuesdays NHTD ",positivo
"Its Natl Safety Month Learn more about teen summer safety tomorrow at 3pm ET for TeenSummer Twitter chat ",positivo
"Happy FathersDay We love the men in our lives- remind them to take care of themselves Find HIV testing sites ",positivo
"50 stars 13 stripes 1 status Know yours by taking an HIV test flagday ",positivo
"NMACCommunity announces Youth Initiative to END The HIV/AIDS Epidemic in America for those 18-25 Apply ",positivo
"56 of all American adults use smartphones What does this new pewinternet data mean for the HIV community ",positivo
"Sing dance your way to better health Find an HIV testing site near you TonyAwards ",positivo
"Early in the epidemic the Broadway community was greatly impacted by HIV Thank you for your commitment to ending AIDS TonyAwards ",positivo
"New apiahf report Case Studies to Improve Asian American NHPI HIV/AIDS Data Collection Reporting Dissemination ",positivo
"June marks LGBT Pride Month Read the HHSgov statement from Secretary Sebelius ",positivo
"With many of us are behind the wheel this summer its important to remember to put away those phones while driving ",positivo
"How is PEPFAR supporting partner countries to promote efficiency effectiveness in national HIV programming ",positivo
"HHSgov Office of Civil Rights launches campaign underscoring how medical record access helps better manage health ",positivo
"Volunteers needed AIDSadvocacy organizing workgroups for National HIV/AIDS Aging Awareness Day NHAAAD ",positivo
"Hep B Free Campaign uses health information technology to improve testing and vaccination practices HepAware ",positivo
"Join CDCNPIN experts 6/4 for In the Know Social Media Measurement Evaluation for Public Health Success SM4PH ",positivo
"Did you know that DeptVetAffairs/@VeteransHealth is the largest single provider of HIV health care in the US MemorialDay ",positivo
"Supporting our vets means linking them to better health Find HIV testing health services nearby MemorialDay ",positivo
"Photo from the Information is Powerful Medicine campaign launch this morning ",positivo
"1 billion CMSgov Health Care Innovation Awards have opportunities for improving care for HIV+ persons ACA ",positivo
"MT cdchep Know More Hepatitis CDC offers free posters fact sheets digital tools for promoting hepatitisC testing ",positivo
"Happy birthday to Harvey Milk who fought to improve LGBT health well-being Keep the fight moving forward ",positivo
"Early bird registration rates available for NMACCommunity 2013 US Conference on AIDS in New Orleans 9/8-9/11 ",positivo
"May19 is National Asian Pacific Islander HIV/AIDS Awareness Day Find resources more info ",positivo
"Today is Hepatitis Testing Day Find out if you should be tested by taking a 5-minute risk assessment HepAware ",positivo
"On HIV Vaccine Awareness Day check out this new interview with NIAIDnews Director Dr Carl Dieffenbach HVAD ",positivo
"This HIV Vaccine Awareness Day NIAIDnews continues important research to make an HIV vaccine a reality HVAD ",positivo
"Today is HIV Vaccine Awareness Day Thank you to all those working together to find a safe effective HIV vaccine ",positivo
"Tomorrow is National HIV Vaccine Day Read the NIAIDNews Bulletin about their HIV vaccine research HVAD ",positivo
"A video message from Dr Dieffenbach of NIAIDNews about HIV Vaccine Awareness Day HVAD ",positivo
"Read up on the basics of HIV Vaccine Research HVAD ",positivo
"Mark your calendars May 18 is HIV Vaccine Awareness Day HVAD May19 is Natl AAPI HIV/AIDS Awareness Day ",positivo
"HUDNews HOPWA grantees provide housing assistance supportive services to PLWHA their families NHAS ",positivo
"Just launched our National Asian Pacific Islander HIV/AIDS Awareness Day (#May19) Pinterest board ",positivo
"News release HHSgov Secretary Kathleen Sebelius on National Womens Health Week NWHW ",positivo
"Celebrating mom Check out these inspiring messages about mothers on Pinterest MothersDay ",positivo
"Moms teach us to take care of ourselves Make mom proud on MothersDay learn more about HIV ",positivo
"Register now for 5/23 webinar on improving health outcomes for HIV-positive clients feat HIVPrevJustice HHSgov ",positivo
"Getting tested is the only way to know if you have Hepatitis C Talk to your doctor about getting tested ",positivo
"MT HHSGov New funds available to 1200 community health centers to educate about the Health Insurance Marketplace ",positivo
"Up to 3 in 4 people with Hepatitis C dont know they have it so they arent getting needed medical care VitalSigns ",positivo
"Thank you nurses for your hard work dedication to keeping us healthy Celebrate National Nurses Week ANACnurses ",positivo
"Leading up to Mothers Day check out inspirational images about moms HIV on our Pinterest board ",positivo
"Join CDCNPIN 5/14 at 2PM ET for a live webcast In the Know Google Plus YouTube for Public Health SM4PH ",positivo
"One of the ways to be safe while celebrating is to know your HIV status cincodemayo ",positivo
"The USPSTF gave a Grade A recommendation for routine HIV screening for all people ages 15-65 What does it mean ",positivo
"Mark your calendar 5/18 is HIV Vaccine Awareness Day 5/19 is Natl Asian Pacific Islander HIV/AIDS Awareness Day ",positivo
"Secretary Sebelius announces simplified shortened application to access quality affordable health coverage ACA ",positivo
"News bulletin The US Preventive Services Task Force issues final recommendation statement on screening for HIV ",positivo
"The myfamily App wins the Mobile App Challenge Download to manage your familys health ",positivo
"MT CDCNPIN Registration for next webcast Google+/YouTube 4 Public Health is now open 5/14 2pm ET SM4PH ",positivo
"BloggerofHealth All marketplace plans must offer mental health benefits at the same coverage level as other health benefits ACA ActNow ",positivo
"In 2014 some are eligible for tax subsidies to help buy coverage in Health Insurance Marketplaces ActNow ActNow ",positivo
"Historically some people living with HIV had difficulty obtaining private health insurance due to a pre-existing condition ActNow ACA ",positivo
"Join MinorityHealth and HHSLatino today at 1pm ET for a Twitter chat to close National Minority Health Month Use ActNow ",positivo
"Tune in subscribe to this weeks podcasts on digital health National Minority Health Month ",positivo
"Its STD Awareness Month Did you know that having an untreated STD increases the risk of HIV transmission ",positivo
"How is the ACA closing health disparities for minorities Join HHSLatino MinorityHealth SaluddeMinorias for ActNow chat 4/29 1pm ET ",positivo
"We use a shared Google calendar When planning for conferences or awareness days put social media plans on the editorial calendar SM4PH ",positivo
"Starting in 15min MT CDCNPIN Facebook Image Sharing 4 Public Health webcast TODAY Watch join on Twitter SM4PH ",positivo
"Watch this video to learn about the us_fda Patient Network HealthDisparitiesSummit ",positivo
"April is National Minority Health Month HIV is an important health issue for minorities ActNow ",positivo
"Join CDCNPIN Tuesday April 23rd at 2PM for In the Know Facebook and Image Sharing for Public Health SM4PH ",positivo
"PACHA discussed the two spirit community transgender issues and the Stigma Index at their last meeting HIV ",positivo
"AIDSgov on iTunes talks about the new video app Vine SXSW and NYHAAD Tune in subscribe to hear more ",positivo
"Join us CDCNPIN hosting webinar on Facebook image sharing for public health 4/23 at 2pm ET Register SM4PH ",positivo
"AIDS_United announces $1 million in grants to support innovative HIV care treatment efforts NHAS ",positivo
"MT GovNewMedia orihoffer shares what success looks like in social media for gov Hint theres data socialgov ",positivo
"Starting Thursday HRSAgov hosting webinars focused on engaging hard-to-reach populations in HIV care ",positivo
"Abstract submission deadline for 2013 Natl Conference on Health Communication Marketing Media is Thursday NCHCMM ",positivo
"CMSgov announces opportunity to apply for Health Insurance Marketplace Navigator grants ACA ",positivo
"The whitehouse HHSgov CDCgov begin to pilot 1-year HIV resource allocation model (RAMP) project NHAS ",positivo
"Today is Youth HIV + AIDS Awareness Day Learn about the impact of HIV/AIDS on youth in the United States NYHAAD ",positivo
"Find HIV testing sites plus family planning mental health substance abuse other health services at YTHLive ",positivo
"thulcandrian Mobile is the priority If it doesnt work there then its broken YTHLive ",positivo
"Google recommends responsive web design as a best practice YTHLive ",positivo
"Performance in responsive design is important Your content doesnt change but now it all has to fit on a mobile device YTHLive ",positivo
"In RWD content fits the screen design for touch when you can smaller screen is a more intimate viewing area YTHLive ",positivo
"Content is on average reblogged more times on Tumblr than it is on Facebook or Twitter YTHLive ",positivo
"Good morning from day 2 of YTHLive We look forward to meeting you at our 1130 presentation on responsive design feat thulcandrian ",positivo
"Friendly Reminder MT cdcnpin In the Know webcast feat gaming mobile TODAY at 2PM ET Watch live SM4PH ",positivo
"Were chatting about NHAS town hall meetings and BenefitsGOV on iTunes Tune in and subscribe to hear more ",positivo
"Did you miss Sec Sebelius LGBT Health Awareness Week statement Read it now ",positivo
"The next CDCNPIN In the Know Social Media for Public Health session is Gaming Mobile on 4/2 SM4PH ",positivo
"LGBT Health Awareness Week is a good time to read about new media in the LGBT community CC25 ",positivo
"Be safe on the road CDCgov reports mobile device use while driving more common in US than several Euro countries ",positivo
"Happening now - Health 20 Digital Technology in Clinical Care Watch live at digitalhealth ",positivo
"Congrats MT aidsinfo Our HIV/AIDS glossary app was named one of the best HIV apps by Healthline Download ",positivo
"Do you know what the term Two-Spirit means RT read our blog post LGBTQ NNHAAD ",positivo
"Download materials a media kit find events near you for National Native HIV/AIDS Awareness Day today NNHAAD ",positivo
"Connected Health Learn how wireless technologies tailored SMS improve care at 3/22 DigitalHealth mtg in NYC ",positivo
"Tomorrow is National Native HIV/AIDS Awareness Day See how social media is increasing the reach of the day NNHAAD ",positivo
"MT womenshealth Women make up 29 of HIV/AIDS diagnoses among Native Americans Learn the facts NNHAAD ",positivo
"Explore digital technologies to improve care reduce health disparities March 22 DigitalHealth event in NYC ",positivo
"Wednesday is the first day of spring but did you also know that its National Native HIV/AIDS Awareness Day NNHAAD ",positivo
"Progress on Presidents Working Group on HIV/AIDS Violence against Women/Girls Gender-Related Health Disparities ",positivo
"New data shows that majority of patients receiving medical care from Ryan White are virally suppressed CROI HRSAgov ",positivo
"On NWGHAAD check out CDCgovs TakeChargeandTest campaign to encourage African American women to get tested for HIV ",positivo
"More info on how you can observe National Women Girls HIV/AIDS Awareness Day today NWGHAAD ",positivo
"Use your extra daylightsavings hour today to find an HIV test other health services near you ",positivo
"More info on how you can observe National Women Girls HIV/AIDS Awareness Day today NWGHAAD womenshealth ",positivo
"On InternationalWomensDay urge the women in your life to know their status take an HIV test Find testing IWD ",positivo
"We agree with DrDeanCDC- NWGHAAD should be a day that women girls get tested for HIV Find testing NWGHAADchat ",positivo
"womenshealth Director Nancy C Lee shares four things we know about how HIV/AIDS affects women NWGHAAD ",positivo
"Statement by PEPFAR Ambassador Goosby on report of the first child to be functionally cured of HIV CROI ",positivo
"For National Women Girls HIV/AIDS Awareness Day (March 10) weve launched a new Pinterest board NWGHAAD ",positivo
"Dr Lynne Mofenson from NIH speaking at CROI on MTCT See the webcast and read about her work ",positivo
"Mark your calendar Sunday March 10 is National Women Girls HIV/AIDS Awareness Day Learn more NWGHAAD ",positivo
"Today CDCgov released its 2011 HIV Surveillance Report w/ data from 50 states DC 6 territories for the first time ",positivo
"Behind the scenes how ISISorg used a Google+ Hangout to reach audiences about youth mHealth ",positivo
"We added HIV to the oscars conversation last night Will you add it to a conversation today Find an HIV test site ",positivo
"It doesnt take a spy to find an hiv test oscars ",positivo
"Show your amour your amor Take an HIV test oscars ",positivo
"We salute those who raise awareness of HIV/AIDS through film video Find an HIV test Oscars SurviveaPlague ",positivo
"Inspired by the Oscar documentary nominees Heres tips on telling digital stories about HIV ",positivo
"Monday 2/25 9am Watch whitehouse Townhall on Affordable Care Act African American community live ACA ",positivo
"The Conf on Retroviruses Opportunistic Infections is next week in ATL What topics interest you Let us know CROI ",positivo
"whitehouse meeting on the National HIV/AIDS Strategy and the Affordable Care Act has just begun in Chapel Hill ",positivo
"Happy PresidentsDay Take time to read the Presidents National HIV/AIDS Strategy today NHAS ",positivo
"Be presidential today Watch President Obama talk about taking an HIV test PresidentsDay ",positivo
"MT CDCNPIN Register for NPINs Webcast Series- In the Know Social Media for Public Health 1st session is 2/19 SM4PH ",positivo
"You have to be care about measurement versus evaluationYou have to have actionable data along the way to reach success MTMDC ",positivo
"If you begin to under how people are motivated to act you think about how to incentive different types of behavior in health care MTMDC ",positivo
"iTunes brings you info on upcoming whitehouse public meetings on NHAS ACA Tune in and be sure to subscribe ",positivo
"Happy Valentines Day Show your love today by finding an HIV testing site near you ",positivo
"For Valentines Day show you care by sharing these mobile apps social media tools with your loved ones ",positivo
"The State of the Union is tonight at 9pm EST Whats the state of your HIV status Find HIV testing near you SOTU ",positivo
"Listen to on iTunes New media at AAMSM in support of NBHAAD View in iTunes Subscribe ",positivo
"MT vj44 We all have a role to play Start by knowing your status and if + get on treatment today It can save your life RealTalk ",positivo
"Thanks for the mention vj44 UncleRUSH GreaterThanAIDS Visit to find HIV testing sites near you RealTalk ",positivo
"MT vj44 Many people dont think theyre at risk so they dont get tested Everyone needs to know their status Ask to be tested RealTalk ",positivo
"RT ü?èUncleRUSH I am speaking out about HIV/AIDS today with Vj44 because if we know our status we can win the battle RealTalk ",positivo
"Just announced Join vj44 (Senior Advisor to the President) UncleRush GreaterThanAIDS at 3pm ET for an NBHAAD Twitter chat ",positivo
"Want to get involved for NBHAAD NatBlackAIDSDay has a database of events happening across the US today ",positivo
"Among all racial/ethnic groups African Americans bear the greatest burden of HIV in the US Get educated Get tested Get involved NBHAAD ",positivo
"MT pewinternet Women are more likely than men to report increased importance time spent on Facebook (via ",positivo
"Using new media to reach black gay men from the 2013 Natl African American MSM Leadership Conference AAMSM NBHAAD ",positivo
"MT DrDeanCDC Its important for people of all ages to get into care ASAP Find care services near you NBHAADchat ",positivo
"A big thank you to DrDeanCDC CDC_NCHHSTP Dr Duffus talkHIV for hosting todays NBHAADChat to all who joined the convo on HIV ",positivo
"An HIV test is important defense Superbowl Sunday and every day Know your status Find an HIV testing site nearby ",positivo
"Punxsutawney Phil doesnt know if hell see his shadow tomorrow But you can know your HIV status groundhogday ",positivo
"Turned your calendar to February Make sure 2/7 NBHAAD is marked -a day to learn how HIV impacts African Americans ",positivo
"Download this Black History Month poster encourage your community to celebrate February in good health ",positivo
"Feb 7 is National Black HIV/AIDS Awareness Day Find resources for the day NBHAAD ",positivo
"QuickStats from CDCMMWR HIV Death Rates Among Men Aged 25ü??54 Years by Race and Age Group (US 2000ü??2010) ",positivo
"Did you know HHSGov offers 32 APIs on subjects from biomedical research to health care costs digitalstrategy ",positivo
"Register for live AETC webcast on providing competent clinical HIV care for veterans - Thursday 1/31 2-3pm ET ",positivo
"New study finds that rapid HIV testing in drug treatment programs is both cost effective and increases life expectancy ",positivo
"RT ü?èhhsnewmedia Whenever you select a hashtag there are a few things to consider ",positivo
"MT AIDSinfo Read the latest CDC_HIVAIDS HIV Surveillance Supplemental Report ",positivo
"New animated video illustrates how improvements in the treatment cascade can help us achieve an AIDS-free generation ",positivo
"What does healthcare reform mean for LGBT communities HIV/AIDS care joins the discussion at Creating Change CC13 ",positivo
"Were at Creating Change CC13 talking about new media and communities of color Stop by the Social Media Lounge today from 1230-130pm ",positivo
"Come chat about communities of color and social media We are at the CC13 Social Media Lounge in Atl GA on 01/25/13 from 1230-130pm ",positivo
"FDA_Drug_Info webinar to discuss recent draft guidance for industry on vaginal microbicides Thurs 1/22 2-3pm ET ",positivo
"Have you taken an HIV test before Make today your inaugural one ",positivo
"A Create a safe space where these issues can be addressed AAMSM ",positivo
"A Realize the leader in you Let others help you but be you own leader ",positivo
"The first question is about HPTN061 Read about the study ",positivo
"Good Morning We will begin live tweeting from the AAMSM panel featuring young black gay men YBMSM ",positivo
"cdcgov Dr Mermin mentioned the heightened response to African Americans over the past year AAMSM CDCNPIN ",positivo
"How will you serve the HIV community for tomorrows dayofservice Let new media help ",positivo
"Now presenting at AAMSM Info on the POST Strategy to get started with new media communicate to your audiences ",positivo
"Learn about the impact of the Affordable Care Act on People Living With HIV/AIDS AAMSM ",positivo
"Mr Baker also talked about HIV and Syphilis among gay Black men Read the CDCgov blog post AAMSM ",positivo
"We are now going to start live tweeting from the Promoting the Health of Black Gay Bisexual Men AAMSM ",positivo
"1 of 3 Americans has looked online for health info What does this new pewinternet data mean for the HIV community ",positivo
"Good morning Were in LA at the NAESM AAMSM conference For new media qs worksheets stop by the new media lounge near registration ",positivo
"Are you a blogger or thinking about blogging Heres our 10 tips for online writing ",positivo
"Jan 19 is the National Day of Service Use the day to make an impact on HIV dayofservice ",positivo
"DrOz health app developers should keep in mind that people dont change based on what they know but on how they feel DigiHealthCES ",positivo
"Next gen health tools/apps will integrate monitoring w/ online support use data to motivate consumer inform interventions DigiHealthCES ",positivo
"DrReedTuckson no single solution for health challenges Tech must work with healthcare providers individuals govt media DigiHealthCES ",positivo
"DrReedTuckson cites important role for technology in addressing national health challenges DigiHealthCES ",positivo
"The HHSgov opa1 Title X Family Planning Program plays an important role in the fight against HIV ",positivo
"In mega trends in mobile session tech leaders ID healthcare as sector ripe for technology innovation DigiHealthCES ",positivo
"Military health innovations with potential for HIV care robots virtual reality online health coaches interactive agents DigiHealthCES ",positivo
"New calendar for 2013 Mark these upcoming HIV/AIDS awareness days happening throughout the year ",positivo
"Ring in the new year by taking an HIV test in 2013 Find HIV testing other services near you at ",positivo
"wishes you a very happy New Year What are your ideas for new media trends to watch in 2013 ",positivo
"So long 2012 Be safe on new years eve set a new years resolution to take an HIV test in 2013 ",positivo
"Tune into on iTunes for a look back at mHS12 mHealthSummit and mobile safety ",positivo
"Did you get a new mobile phone for the holidays Download these apps help the response to HIV ",positivo
"For the holidays encourage your family to stay healthy Help them find HIV test other health services ",positivo
"We know a lot of you are traveling today Please dont drive while texting or reading information on your phone ",positivo
"Today is the shortest day of the year but dont let that stop you from taking an HIV test Find one here ",positivo
"The whitehouse Office of National AIDS Policy needs YOUR input on addressing violence HIV among women girls ",positivo
"New blog post video recap 5 mobile health themes from this months mhealthsummit mHleath ",positivo
"2013 is the year of responsive design Did you know that feature it digitalstrategy ",positivo
"Released today cdcgov 2011 STD Surveillance Report data show syphilis rates are rising among gay bisexual men ",positivo
"So much happened for WAD2012 Our storify curates how we are Working Together for an AIDS-Free Generation ",positivo
"New video recapping Black Gay and Bisexual Mens HIV/AIDS Summit ",positivo
"A summary of the HHSgov consultation on HIV among Black Gay and Bisexual Men ",positivo
"HHSgov Office of Intergovernmental and External Affairs hosts a WAD2012 conference call on 12/6 4-5 ET ",positivo
"How photo sharing can be a tool to address HIV stigma ",positivo
"New blog post on preventing the flu its complications with resources for people living with HIV NIVW2012 ",positivo
"Wonder how they get the red ribbon up on the WhiteHouse Check out this time-lapse video and blog WAD2012 ",positivo
"Join us TODAY at 1pm ET as we chat w/ HIV prevention experts CDC_DrFenton on empowering YMCSM EmprYngMn ",positivo
"Im putting a face AIDS You MUST get tested WAD2012 ",positivo
"Im Facing AIDS because Im inspired to make a difference WAD2012 ",positivo
"Today World AIDS Day is a good day to read the blog Subscribe comment now WAD2012 ",positivo
"On the go today Use the new mobile app to join the Facing AIDS photo initiative for World AIDS Day WAD2012 - ",positivo
"Im helping fight AIDS for my brother my best friend WAD2012 ",positivo
"I am supporting the National HIV/AIDS Strategy b/c together we can make a difference WAD2012 ",positivo
"Did you know the United States has its own National HIV/AIDS Strategy Learn about this HIV roadmap NHAS WAD2012 ",positivo
"Facing AIDS for WorldAIDSDay Did you know theres an app for that Check out the video on how to use it WAD2012 - ",positivo
"HIV 101 Learn the basics Know the facts Take care of yourself Visit us at for WorldAIDSDay WAD2012 ",positivo
"The US Government theme for WorldAIDSDay is Ù?Working Together for an AIDS-Free Generation WAD2012 ",positivo
"Today is World AIDS Day Over 34 million people worldwide are living with HIV Do you know your HIV status WAD2012 ",positivo
"The DeptVetAffairs Office of Public Health is Facing AIDS WAD2012 ",positivo
"fact sheet on how the Affordable Care Act helps people living with HIV/AIDS WAD2012 ",positivo
"Im Facing AIDS because I love my dad WAD2012 ",positivo
"Were so inspired by the Facing AIDS participation weve seen so far Find your inspiration WAD2012 ",positivo
"Just in time for WAD Drs Koh and Valdiserri reflect on the progress weve made over the last 31 years NHAS ",positivo
"New year new message Even if youve participated in Facing AIDS before for WorldAIDSDay your voice matters every year WAD2012 ",positivo
"Did you know about 1 in 4 new HIV infections are among youth 60 dont know it VitalSigns WAD2012 (via CDCgov) ",positivo
"MT StateDept Miss the live streaming Stay tuned for video or read SecClintons WorldAIDSDay remarks here WAD2012 ",positivo
"PEPFARs Ambassador Goosby now speaking at whitehouse WHLive WorldAIDSDay event on WAD2012 ",positivo
"Sebelius announces HHSgov rule to include HIV on list of chronic conditions that every state may target for Health Home design WAD2012 ",positivo
"A historic shift in the domestic HIV fight the National HIV/AIDS Strategy iding core indicators using new media WAD2012 NHAS ",positivo
"vj44 is speaking on youth HIV infection rates Read the Vital Signs article WAD2012 ",positivo
"Our new media toolkit has sample tweets stats and other resources for a successful WAD2012 ",positivo
"Did you know its simple to find HIV testing nearby Check it out in time for World AIDS Day Dec 1 WAD2012 ",positivo
"From usaidgh Shared Responsibility The Catalyst for Long-Term Success in HIV AIDS WAD2012 ",positivo
"Deborah Derrick of globalfundnews shares on partnering with pepfar to save and improve millions of lives WAD2011 ",positivo
"60 of new youth HIV infections occur in African Americans 20 in Hispanics/Latinos ~20 in whites WAD2012 ",positivo
"ü??We are supporting the National HIV/AIDS Strategy because together we can make a difference WAD2012 NHAS ",positivo
"This Thanksgiving the team is thankful for our twitter followers all that you do for HIV/AIDS prevention care ",positivo
"Yesterday HHS_DrKoh shared his thoughts on WAD2012 The HIV community has a lot to be thankful for ",positivo
"Without men we dont have healthy communities -@PeaceCorps Buck Buckingham in honor of InternationalMensDay ",positivo
"New mobile data from PewResearch Internet American Life Project Tune in to our audio podcast to hear more ",positivo
"Nurses remind us that we are all in this together Buck Buckingham PeaceCorps ANAC2012 ",positivo
"Join us in Facing AIDS for World AIDS Day We are Facing AIDS because young women of color should be heard WAD2012 ",positivo
"At ANAC12 Want to learn about new media Were in Primrose today 130-330 and tomorrow 7-830 and 1230-230 ",positivo
"Join CDCgovs parent engagement in school health Twitter chat today 230-330pm ET HealthyYouthChat ",positivo
"Celebrate the Great American Smokeout w/ HHSgov and AmericanCancer Visit BeTobacco Free this year GASO2012 ",positivo
"Congratulations to the Office on Womens Health (@womenshealth) on reaching 500000+ followers See more ",positivo
"New audio podcasts on policy and the National HIV/AIDS Strategy Tune in only at ",positivo
